Question,Option 1,Option 2,Option 3,Option 4,Option 5,Current Answer,Explanation,Categories,Type,Attachments,Points,Hint 1
What is the core definition of data sovereignty?,The physical location where data is stored.,The legal authority a country has over data generated and stored within its borders., The right of a corporation to own user data.,The encryption of data during transit.,,The legal authority a country has over data generated and stored within its borders.," Data sovereignty refers to the legal jurisdiction and control a government has over digital data, meaning the data must comply with the laws of the country where it resides.",Technology,Multiple Choice,,2,
Which British computer scientist is credited with inventing the World Wide Web in 1989? ,Bill Gates ,Tim Berners-Lee ,Steve Jobs ,Alan Turing,,Tim Berners-lee,,Technology,Multiple Choice,,2,
Which has the thickest fur of any mammal?,,,,,,Sea Otter,,Animal,Single Choice,,2,Look to a kelp-forest swimmer that floats on its back.
A newborn kangaroo is about the size of a … ?,,,,,,Grape,,Animal,Single Choice,,2,Small enough to fit on a teaspoon at birth.
What land animal has the most powerful bite?,,,,,,Hippopotamus,,Animal,Single Choice,,2,This semi-aquatic African giant is far more aggressive than it looks.
Where is the only place on their body dogs have sweat glands?,,,,,,The pads of their paws,,Animal,Single Choice,,2,Check the part of them that touches the ground.
What is a male duck called?,,,,,,Drake,,Animal,Single Choice,,2,Shares a name with a chart-topping Canadian rapper.
What is a baby hedgehog called?,,,,,,Hoglet,,Animal,Single Choice,,2,A playful twist on the spiky adult's name.
What percentage of baby animals are raised by both parents?,,,,,,3%,,Animal,Single Choice,,2,It's a strikingly small slice of the animal kingdom.
How many legs does a lobster have?,,,,,,10,,Animal,Single Choice,,2,"The same count as a crab, claws included."
What is a polar bear’s skin color?,,,,,,Black,,Animal,Single Choice,,2,It's the opposite shade of what the fur suggests.
What is a female donkey called?,,,,,,Jenny,,Animal,Single Choice,,2,Also a common nickname for Jennifer.
What is the only big cat that doesn’t roar?,,,,,,Cheetah,,Animal,Single Choice,,2,The world's fastest sprinter can only purr and chirp.
How many heart chambers does a cockroach have?,,,,,,13,,Animal,Single Choice,,2,"More than a dozen, unlike our single one."
What does a snake use to taste and smell?,,,,,,The roof of its mouth,,Animal,Single Choice,,2,It flicks its tongue toward a special sensing organ up top.
What is the main reason frogs croak?,,,,,,To attract a mate,,Animal,Single Choice,,2,It's all about romance during breeding season.
What is the process of a caterpillar turning into a butterfly called?,,,,,,Metamorphosis,,"Animal, Biology",Single Choice,,2,From Greek roots meaning 'change of shape'.
What is a baby goat called?,,,,,,Kid,,"Animal, Biology, Language",Single Choice,,2,You might call a human child the same thing.
What is a group of crows called?,,,,,,Murder,,"Animal, Biology, Language",Single Choice,,2,The collective term sounds like a serious crime.
"Mark Twain is the pseudonym of what famous American author who wrote ""The Adventures of Huckleberry Finn""?",,,,,,Samuel Clemens,,Arts & Literature,Single Choice,,2,He took his pen name from a riverboat depth call.
Canucks is a slang name for people from which country?,,,,,,Canada,,Arts & Literature,Single Choice,,2,Think just north of the U.S. border.
Which present day female actor share the name of William Shakespeare's wife? ,,,,,,Anne Hathaway,,Arts & Literature,Single Choice,,2,She won an Oscar for Les Misérables.
Which famous painter could write with one hand and draw with the other at the same time?,,,,,,Leonardo da Vinci,,Arts & Literature,Single Choice,,2,This Renaissance genius also sketched flying machines.
What type of tree do acorns come from?,,,,,,Oak tree,,Biology,Single Choice,,2,Squirrels famously stash these nuts.
What is the powerhouse of the cell?,,,,,,"The mitochondria is known as the powerhouse of the cell. These microscopic, double-membraned organelles act as the cell's engines by converting the food we eat into adenosine triphosphate (ATP)—the chemical energy currency that powers our heartbeat, muscle movements, and brain function",,Biology,Single Choice,,2,It's the organelle that generates the cell's ATP energy.
What is the material in cells that contains DNA and carries genetic information?,,,,,,Chromatin,,Biology,Single Choice,,2,It condenses into chromosomes when a cell divides.
What is the protein-making sites of the cell. Often attached to the endoplasmic reticulum.,,,,,,Ribosomes,,Biology,Single Choice,,2,They read mRNA to string together amino acids.
What is the chemical element for the symbol K?,,,,,,potassium,,Chemistry,Single Choice,,2,Its symbol comes from the Latin 'kalium'.
What is the chemical element for the symbol Ag?,,,,,,Silver,,Chemistry,Single Choice,,2,Its symbol comes from the Latin 'argentum'.
What do you call a scientist that studies weather?,,,,,,Meteorologist,,General Science,Single Choice,,2,"Despite the name, the job has nothing to do with meteors."
What gas do plants absorb from the atmosphere?,,,,,,Carbon dioxide,,"General Science, Chemistry, Biology, Space",Single Choice,,2,It's the same gas humans breathe out.
Bern is the capital of what European country?,,,,,,Switzerland,,Geography,Single Choice,,2,"Famed for neutrality, watches, and chocolate."
How many Great Lakes are there?,,,,,,Five,,Geography,Single Choice,,2,You can count them on one hand.
What are the Great Lakes?,,,,,,"A helpful way to remember their names is the acronym HOMES.H - Lake Huron: The second largest by surface area and the lake with the longest shoreline.O - Lake Ontario: The easternmost and smallest by surface area. M - Lake Michigan: The third largest and the only Great Lake located entirely within the United States. E - Lake Erie: The shallowest and warmest of the lakes, making it a major hub for boating and fishing. S - Lake Superior: The largest, deepest, and coldest of the five. Its massive volume contains more water than all the other four lakes combined",,Geography,Single Choice,,2,An acronym spelling a place you live can help you recall them.
Which country has the longest coastline?,,,,,,"Canada, due to the number of northen island",,"Geography, Geology",Single Choice,,2,Its countless northern islands add up the mileage.
What is limestone formed by?,,,,,,Crushed shells or coral.,,Geology,Single Choice,,2,It builds up from the remains of ancient sea creatures.
When was the first seismograph invented?​​​​​​​,,,,,,Approximately A.D. 200 in China.,,"Geology, History",Single Choice,,2,"It dates back nearly 2,000 years to ancient Asia."
What does AM in AM/PM stand for?,,,,,,"AM stands for the Latin phrase ante meridiem, which means ""before midday"" (covering midnight to just before noon). ",,Language,Single Choice,,2,It's a Latin phrase meaning 'before midday'.
What does PM in AM/PM stand for?,,,,,,"PM stands for post meridiem, meaning ""after midday"" (covering noon to just before midnight)",,Language,Single Choice,,2,It's the Latin counterpart meaning 'after midday'.
What does AD in AD/BCE stand for?,,,,,,"AD stands for Anno Domini, Latin for ""in the year of our Lord"". It marks the years after the estimated birth of Jesus Christ.",,Language,Single Choice,,2,"It's Latin, marking years after a pivotal birth."
What does BCE in AD/BCE stand for?,,,,,,"BCE stands for ""Before Common Era."" It refers to the years before the start of the calendar, acting as a secular alternative to BC (""Before Christ""). ",,Language,Single Choice,,2,It's the secular stand-in for 'B.C.'.
"A word, phrase or sequence that reads the same forward and backward is called what?",,,,,,A palindrome,,Language,Single Choice,,2,Racecar' and 'level' are examples.
What is the numeric value of the Roman numeral L?,,,,,,50,,Math/Numbers,Single Choice,,2,Halfway to a Roman century (C).
What is the sum of 11.5 and negative 14?,,,,,,-2.5,,Math/Numbers,Single Choice,,2,The negative value edges out the positive one.
"What does ""mythical refresh pull"" mean?",,,,,,"(often called a ""mythical FYP pull"" or ""reel pull"") is a slang term used on TikTok and Instagram. It describes the feeling of dragging your screen to refresh your feed and being rewarded with an oddly captivating, hilarious, or perfectly hyper-specific video you absolutely love.",,Meme/Trends,Single Choice,,2,It's social-media slang about a perfect scroll-and-refresh moment.
"What does ""mogging"" mean?",,,,,,"is Gen Z and Gen Alpha slang that means to dominate, outshine, or outperform someone else. It is most commonly used to describe someone who looks physically or aesthetically superior to another person (e.g., being better-looking, taller, or more muscular)",,Meme/Trends,Single Choice,,2,Gen Z slang for clearly outshining someone.
What planet is closest to the sun?,,,,,,Mercury,,Space,Single Choice,,2,Also the name of a Roman messenger god and a liquid metal.
What does AM in AM/FM stand for?,,,,,,AM stands for Amplitude Modulation.,,"Technology, Language",Single Choice,,2,The 'A' refers to varying the wave's height.
What does FM in AM/FM stand for?,,,,,,FM stands for Frequency Modulation.,,"Technology, Language",Single Choice,,2,The 'F' refers to varying the wave's rate.
True or False: Crawfish are fish.,,,,,,FALSE,They are crustaceans.,Biology,True or False,,2,
"True or False, tsunami and a tidal wave are the same thing?​​​​​​​",TRUE,FALSE,,,,FALSE,No. Tsunamis are caused by water displacement as a result of an undersea earthquake or a landslide. Tidal waves are caused by the moon & Sun's gravitational pull combined with prevailing winds and water currents.,"Geography, Geology",True or False,,2,
True or false? Light is the only thing that can escape a black hole.,TRUE,FALSE,,,,FALSE,,Space,True or False,,2,
Paraguary is in country in which continent?,,,,,,South America,,Geography,Single Choice,,2,
What flag is this?,,,,,,Manitoba,,Geography,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Manitoba.svg/3840px-Flag_of_Manitoba.svg.png,2,A province flag from Canada that is similar to Ontario
What flag is this?,,,,,,British Columbia,,Geography,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_British_Columbia.svg/3840px-Flag_of_British_Columbia.svg.png,2,A west coast province flag from Canada
What flag is this?,,,,,,Alberta,,Geography,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Alberta.svg/3840px-Flag_of_Alberta.svg.png,2,A province flag from Canada that has lots of mountains
What flag is this?,,,,,,Saskatchewan,,Geography,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_Saskatchewan.svg/960px-Flag_of_Saskatchewan.svg.png,2,"A province flag from Canada that has a provincial flower called "" western red lily"""
What flag is this?,,,,,,Mozambique,,Geography,Single Choice w/ Media,https://i.insider.com/5b1feb6c5e48ec3c008b45f7?width=1300&format=jpeg&auto=webp,2,"The AK-47 should be a giveaway. The country is in Africa.
"
What flag is this?,,,,,,Ecuador,,Geography,Single Choice w/ Media,https://i.insider.com/5b1feb9e5e48ec20008b45b7?width=1300&format=jpeg&auto=webp,2,This country's name derives from what part of the world it's near.
What flag is this?,,,,,,Dominica,,Geography,Single Choice w/ Media,https://i.insider.com/5b1feba65e48ec1f008b45a3?width=1300&format=jpeg&auto=webp,2,This country's name is very similar to another country's — they are often confused.
What flag is this?,,,,,,Monaco,,Geography,Single Choice w/ Media,https://i.insider.com/5b19414e5e48ec49008b45fe?width=1300&format=jpeg&auto=webp,2,The country is also a city-state.
What flag is this?,,,,,,Sicily,,Geography,Single Choice w/ Media,https://i.insider.com/5b1febbe5e48ec47008b4599?width=1300&format=jpeg&auto=webp,2,"This flag actually belongs to a region, not an entire country."
Name this meme.,,,,,,Harambe,,Meme/Trends,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/en/e/ee/Harambe_with_boy.jpg,2,"This is named after the 450-pound western lowland gorilla at the Cincinnati Zoo who was shot and killed by zoo officials on May 28, 2016."
Name this meme.,,,,,,Nyan Cat,,Meme/Trends,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/en/e/ed/Nyan_cat_250px_frame.PNG,2,"This came from a YouTube video uploaded in April 2011, which became an internet meme. The video merged a Japanese pop song with an animated cartoon cat."
Name this meme.,,,,,,Doge,,Meme/Trends,Single Choice w/ Media,https://imgflip.com/s/meme/Doge.jpg,2,"This is a popular internet meme featuring a Shiba Inu named Kabosu, known for her quizzical expression and broken-English interior monologues (e.g., ""much wow,"" ""such ___"")"
Name this meme.,,,,,,Overly Attached Girlfriend,,Meme/Trends,Single Choice w/ Media,https://imgflip.com/s/meme/Overly-Attached-Girlfriend.jpg,2,
Name this meme.,,,,,,Bad luck Brian,,Meme/Trends,Single Choice w/ Media,https://imgflip.com/s/meme/Bad-Luck-Brian.jpg,2,
Name this trend.,,,,,,HARLEM SHAKE,,Meme/Trends,Single Choice w/ Media,https://youtu.be/8vJiSSAMNWw,2,
Name this trend.,,,,,,Soulja Boy Crank That Dance,,Meme/Trends,Single Choice w/ Media,https://youtu.be/yMHygHL-obQ,2,
Name this trend.,,,,,,Flash mob dances,,Meme/Trends,Single Choice w/ Media,https://youtu.be/2DiQUX11YaY,2,
Name this meme.,,,,,,Me Gusta,,Meme/Trends,Single Choice w/ Media,https://static.wikia.nocookie.net/wikimemia/images/a/af/Me_Gusta.png/revision/latest/scale-to-width-down/680?cb=20130512175459,2,
Name this meme.,,,,,,Troll face,,Meme/Trends,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/en/7/73/Trollface.png,2,
Name this meme.,,,,,,Rick Roll,,Meme/Trends,Single Choice w/ Media,https://www.youtube.com/watch?v=Aq5WXmQQooo&pp=ygUJcmljayByb2xs,2,
