Question,Option 1,Option 2,Option 3,Option 4,Option 5,Current Answer,Explanation,Categories,Type,Attachments,Points,Hint 1,question timer delay by secs
Which present day female actor share the name of William Shakespeare's wife? ,,,,,,Anne Hathaway,,Arts & Literature,Single Choice,,2,She won an Oscar for Les Misérables.,
Which famous painter could write with one hand and draw with the other at the same time?,,,,,,Leonardo da Vinci,,Arts & Literature,Single Choice,,2,This Renaissance genius also sketched flying machines.,
"Which planet completes the title of a famous Botticelli painting ""The Birth of...""?",Neptune,Venus,Mars,Earth,,Venus,,Arts & Literature,Multiple Choice,,1,The Roman goddess of love who was born from sea foam.,
What do clouds consist of? ,liquid droplets,smoke,cotton candy,ozone,,Liquid Droplets,,Biology,Multiple Choice,,1,,
What type of tree do acorns come from?,,,,,,Oak tree,,Biology,Single Choice,,2,Squirrels famously stash these nuts.,
What is the powerhouse of the cell?,,,,,,"The mitochondria is known as the powerhouse of the cell. These microscopic, double-membraned organelles act as the cell's engines by converting the food we eat into adenosine triphosphate (ATP)—the chemical energy currency that powers our heartbeat, muscle movements, and brain function",,Biology,Single Choice,,2,It's the organelle that generates the cell's ATP energy.,
What is the material in cells that contains DNA and carries genetic information?,,,,,,Chromatin,,Biology,Single Choice,,2,It condenses into chromosomes when a cell divides.,
What is the protein-making sites of the cell. Often attached to the endoplasmic reticulum.,,,,,,Ribosomes,,Biology,Single Choice,,2,They read mRNA to string together amino acids.,5
True or False: Crawfish are fish.,,,,,,FALSE,They are crustaceans.,Biology,True or False,,2,,
What is the medical term for the shoulder blade?,Clavicle,Scapula,Sternum,Patella ,,Scapula,"The clavicle is the collar bone, the sternum is the breastbone, and the patella is the kneecap.",Biology,Multiple Choice,,1,It's the flat wing-like bone on your upper back.,
"Who anciently earned the title ""Father of Western Medicine""?",Galen,Louis Pasteur,Hippocrates,Alexander Fleming,,Hippocrates,"The father of medicine, he is best known for the Hippocratic Oath taken by physicians.",Biology,Multiple Choice,,,Physicians still swear an oath named after him.,
Which organ is primarily responsible for producing insulin in the human body?,Liver,Gallbladder,Pancreas,Spleen,,Pancreas,It contains clusters of cells known as islets that regulate blood sugar.,Biology,Multiple Choice,,1,This organ sits behind the stomach and regulates blood sugar.,
Approximately how much blood does the average adult human body contain?,1 to 2 liters,5 liters,10 liters,15 liters,,5 liters,,Biology,Multiple Choice,,1,,
Humans share 60% of their DNA with which fruit?,,,,,,Bananas,,Biology,Single Choice,,,This curved yellow fruit shares surprisingly much of our genetic code.,
True or false: Human teeth are just as strong as shark teeth,TRUE,FALSE,,,,TRUE,,Biology,True or False,,1,,
True or false: Ears continue to grow as a human ages,TRUE,FALSE,,,,TRUE,,Biology,True or False,,,,
Which of the following is considered a primary source of quick energy for the body?,Proteins,Carbohydrates,Fats,Vitamins,,Carbohydrates,Carbohydrates provide the body with its main source of fuel.,Biology,Multiple Choice,,1,,
What is the chemical element for the symbol K?,,,,,,potassium,,Chemistry,Single Choice,,2,Its symbol comes from the Latin 'kalium'.,
What is the chemical element for the symbol Ag?,,,,,,Silver,,Chemistry,Single Choice,,2,Its symbol comes from the Latin 'argentum'.,
Which of the following physical and economic characteristics applies directly to real estate?,"Liquid, mobile, abundant, unique","Depreciable, movable, abundant, scarce"," Immovable, indestructible, unique, scarce","Moveable, indestructible, scarce, unique",," Immovable, indestructible, unique, scarce",,Finance/Economic,Multiple Choice,,1,Land can't be moved or destroyed and every parcel is one of a kind.,
"If a country's Gross Domestic Product (GDP) goes up, which of the following is the most accurate statement?",The cost of living has decreased for everyone,The total value of goods and services produced within the country has increased.,Wealth is distributed more equally across the population.,The overall unemployment rate has fallen to zero,,The total value of goods and services produced within the country has increased.,"GDP is simply a measure of the monetary value of all finished goods and services produced within a country's borders in a specific time period. While a rising GDP generally indicates economic growth, it doesn't tell us anything about how wealth is distributed, the inflation rate, or individual standards of living",Finance/Economic,Multiple Choice,,1,,
"What common rule of thumb do many economists and journalists use to define a ""technical"" recession?",One month of negative GDP growth,Two consecutive quarters of negative GDP growth,An increase in the stock market by more than 10%,Three consecutive years of inflation,,Two consecutive quarters of negative GDP growth,"A ""technical recession"" is most simply defined as two consecutive quarters of negative economic growth, measured by real GDP. If a country's total output shrinks for six months straight, it generally meets this standard",Finance/Economic,Multiple Choice,,1,Think six straight months — two quarters — of shrinking output.,
Which of the following is typically a key economic indicator that rises during a recession?,Consumer confidence,The employment rate,The unemployment rate,Retail sales,,The unemployment rate," Because consumer spending and business demand decrease during a recession, companies cut costs by halting production and laying off workers. Therefore, the unemployment rate always spikes during these economic downturns",Finance/Economic,Multiple Choice,,1,,
what does TFSA stand for? ,,,,,,Tax-Free Savings Account (TFSA) ,"This is a registered investment and savings account in Canada that allows your money to grow tax-free. While your contributions aren't tax-deductible, any interest, dividends, or capital gains you earn—as well as any withdrawals you make—are completely tax-free",Finance/Economic,Single Choice,,1,A Canadian account where your investment growth is never taxed.,
what does FHSA stand for?,,,,,,First Home Savings Account,a registered Canadian account that helps prospective first-time homebuyers save for a down payment on a tax-free basis,Finance/Economic,Single Choice,,1,A Canadian account aimed at saving for your first down payment.,
Which of the following is NOT a core characteristic of a capitalist economy?,Private ownership of property,Central government planning of production,The profit motive,Free market competition,,Central government planning of production," In capitalism, the means of production (resources and businesses) are privately owned, and market forces (supply and demand) dictate prices and production. Central planning of production is the primary feature of a command or planned economy (such as communism)",Finance/Economic,Multiple Choice,,1,Three options describe free markets; one describes a command economy.,
 How are prices primarily determined in a free-market capitalist economy?,Government price ceilings, Laws of supply and demand,Central planning committees,Historical averages,,Laws of supply and demand,"In a pure capitalist or free-market economy, prices fluctuate based on consumer demand and the available supply of goods. If demand for a product is high and supply is low, the price goes up, encouraging producers to create more",Finance/Economic,Multiple Choice,,1,,
Which is a part of a camera?,Ablative,Objective,Initiative,Narrative,,Objective,,General Science,Multiple Choice,,1,It's the main lens that gathers light — also a word for a goal.,
What do you call a scientist that studies weather?,,,,,,Meteorologist,,General Science,Single Choice,,2,"Despite the name, the job has nothing to do with meteors.",
What gas do plants absorb from the atmosphere?,,,,,,Carbon dioxide,,"General Science, Chemistry, Biology, Space",Single Choice,,2,It's the same gas humans breathe out.,
What country is located immediately north of Vietnam? ,Laos,Malaysia,Burma,China,,China,,Geography,Multiple Choice,,1,,
Bern is the capital of what European country?,,,,,,Switzerland,,Geography,Single Choice,,2,"Famed for neutrality, watches, and chocolate.",
How many Great Lakes are there?,,,,,,Five,,Geography,Single Choice,,2,You can count them on one hand.,
What are the Great Lakes?,,,,,,"A helpful way to remember their names is the acronym HOMES.H - Lake Huron: The second largest by surface area and the lake with the longest shoreline.O - Lake Ontario: The easternmost and smallest by surface area. M - Lake Michigan: The third largest and the only Great Lake located entirely within the United States. E - Lake Erie: The shallowest and warmest of the lakes, making it a major hub for boating and fishing. S - Lake Superior: The largest, deepest, and coldest of the five. Its massive volume contains more water than all the other four lakes combined",,Geography,Single Choice,,2,An acronym spelling a place you live can help you recall them.,
Paraguary is in country in which continent?,,,,,,South America,,Geography,Single Choice,,1,This landlocked country sits just south of Brazil.,
What flag is this?,,,,,,Manitoba,,Geography,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Manitoba.svg/3840px-Flag_of_Manitoba.svg.png,2,A province flag from Canada that is similar to Ontario,
What flag is this?,,,,,,British Columbia,,Geography,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_British_Columbia.svg/3840px-Flag_of_British_Columbia.svg.png,2,A west coast province flag from Canada,
What flag is this?,,,,,,Alberta,,Geography,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Alberta.svg/3840px-Flag_of_Alberta.svg.png,2,A province flag from Canada that has lots of mountains,
What flag is this?,,,,,,Saskatchewan,,Geography,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_Saskatchewan.svg/960px-Flag_of_Saskatchewan.svg.png,2,"A province flag from Canada that has a provincial flower called "" western red lily""",
What flag is this?,,,,,,Mozambique,,Geography,Single Choice w/ Media,https://i.insider.com/5b1feb6c5e48ec3c008b45f7?width=1300&format=jpeg&auto=webp,2,"The AK-47 should be a giveaway. The country is in Africa.
",
What flag is this?,,,,,,Ecuador,,Geography,Single Choice w/ Media,https://i.insider.com/5b1feb9e5e48ec20008b45b7?width=1300&format=jpeg&auto=webp,2,This country's name derives from what part of the world it's near.,
What flag is this?,,,,,,Dominica,,Geography,Single Choice w/ Media,https://i.insider.com/5b1feba65e48ec1f008b45a3?width=1300&format=jpeg&auto=webp,2,"This country's name is very similar to another country's — they are often confused. Known as the ""Nature Island of the Caribbean""",
What flag is this?,,,,,,Monaco,,Geography,Single Choice w/ Media,https://i.insider.com/5b19414e5e48ec49008b45fe?width=1300&format=jpeg&auto=webp,2,The country is also a city-state.,
What flag is this?,,,,,,Sicily,,Geography,Single Choice w/ Media,https://i.insider.com/5b1febbe5e48ec47008b4599?width=1300&format=jpeg&auto=webp,2,"This flag actually belongs to a region in Europe, not an entire country. ",
Which country has the longest coastline?,,,,,,"Canada, due to the number of northen island",,"Geography, Geology",Single Choice,,2,Its countless northern islands add up the mileage.,
"True or False, tsunami and a tidal wave are the same thing?​​​​​​​",TRUE,FALSE,,,,FALSE,No. Tsunamis are caused by water displacement as a result of an undersea earthquake or a landslide. Tidal waves are caused by the moon & Sun's gravitational pull combined with prevailing winds and water currents.,"Geography, Geology",True or False,,1,,
What is the boundary between two tectonic plates where they are moving away from each other called?,Convergent boundary,Transform boundary,Divergent boundary,Subduction boundary,,Divergent Boundary,"At divergent plate boundaries, tectonic plates pull apart from each other, a process that frequently forms mid-ocean ridges and rift valleys.",Geology,Multiple Choice,,1,'Diverge' means to move apart.,
What is the estimated age of the Earth based on radiometric dating?,4.6 billion years,2.5 billion years,541 million years,13.8 billion years,,4.6 billion years,"Radiometric dating of Earth's oldest rocks, lunar samples, and meteorites indicates that the Earth formed approximately 4.6 billion years",Geology,Multiple Choice,,1,,
How thick is the crust of the Earth?,about 4 miles,about 4 km,about 40 km,about 400 km,,about 40 km,"According to geological data provided by sources like National Geographic and Britannica, the Earth's continental crust has a mean thickness of about 40 kilometers (approximately 25 miles). While the exact thickness of the crust varies considerably depending on the location, 40 km serves as a highly accurate baseline representation for the landmasses we live on.",Geology,Multiple Choice,,1,Far thinner than you'd guess — about 25 miles under the continents.,
The terms crust and lithosphere are synonymous.,TRUE,FALSE,,,,FALSE,"The crust refers specifically to Earth's outermost chemical layer. The lithosphere is a mechanical layer that includes both the entire crust and the solid, rigid uppermost part of the mantle.",Geology,Multiple Choice,,1,The lithosphere includes the crust plus the rigid top of the mantle.,
What is limestone formed by?,,,,,,Crushed shells or coral.,,Geology,Single Choice,,2,It builds up from the remains of ancient sea creatures.,
When was the first seismograph invented?​​​​​​​,,,,,,Approximately A.D. 200 in China.,,"Geology, History",Single Choice,,2,"It dates back nearly 2,000 years to ancient Asia.",
What did Alfred Nobel invent? ,Dynamite,computers,helicopter,morse code,,Dynamite,,History,Multiple Choice,,1,,
Which European is credited with discovering America? ,Polo,Pizarro,Vespucci,Columbus,,Columbus,,History,Multiple Choice,,1,,
Edo is the former name of which world capital? ,Bangkok,Beijing,Sydney,Tokyo,,Tokyo,,"History, Geography",Multiple Choice,,1,Japan's capital was renamed from this in 1868.,
Which of the following is NOT an official language of Switzerland?,German, Italian,Spanish,,,Spanish,,Language,Multiple Choice,,1,,
"Wedding and relationships anniversary milestone labels are often called Anniversary Themes, Gift Years, or Anniversary Seals/Stickers. What is the traditional theme for the 5th year? ",Tin/Aluminum,Crystal,Gold,Wood,,5th: Wood,,Language,Multiple Choice,,1,The traditional gift is something you'd find in a forest.,10
Magyar is the main language spoken in which country?,Hungary,Poland,Norway,Malaysia,,Hungary,,Language,Multiple Choice,,1,Magyar is what locals call themselves in this Central European nation.,
"Which word is a verb in the following sentence? Although she was tired, Maria ran the entire marathon.", Although, tired, entire, ran,,ran ,Ran is the action she performed.,Language,Multiple Choice,,1,,
Which word is an adjective in the following sentence? The clever detective quickly found the hidden clues., detective, cleverly, clever, quickly,,clever ,"Clever describes the noun, ""detective"".",Language,Multiple Choice,,1,,
Which word acts as an adverb in the following sentence? He spoke loudly during the presentation., He, spoke, loudly, during,,loudly ,"Loudly describes how he ""spoke"".",Language,Multiple Choice,,1,,
Choose the correct preposition for a date in Canada:,"I will arrive on Monday, February 1st.","I will arrive on Monday, in February 1st.","I will arrive on Monday, at February 1st.","I will arrive on Monday, on February 1st.",,"I will arrive on Monday, February 1st.",The standard format for writing out a full date is Month + Day,Language,Multiple Choice,,1,,
Which sentence is punctuated correctly?,"""I need to buy milk, bread and eggs,"" she said.","""I need to buy milk, bread, and eggs"" she said.","""I need to buy milk, bread, and eggs,"" she said.","""I need to buy milk, bread and eggs"" she said,",,"""I need to buy milk, bread, and eggs,"" she said.","Commas and periods go inside the quotation marks, and a comma separates the quote from the dialogue tag",Language,Multiple Choice,,1,,
The -re/-er Rule. Which of the following sentences uses the correct Canadian spelling?, We are going to see a play at the new theater.,I need to buy a new meter for my electricity.,She works as a fibre optic technician.,The firemen arrived to put out the flame.,,She works as a fibre optic technician.,"Canadian English retains the British ""-re"" ending for words like fibre and centre,",Language,Multiple Choice,,1,,
Which of the following is the defining characteristic of a true acronym?," It is formed by taking the first letters of a phrase and pronouncing it as a single word (e.g., NASA)"," It is formed by speaking the individual letters out loud (e.g., FBI)."," It is a shortened form of a word or phrase, regardless of how it is pronounced.", It must contain at least five syllables.,," It is formed by taking the first letters of a phrase and pronouncing it as a single word (e.g., NASA)","True acronyms are pronounced as a single word, unlike initialisms.",Language,Multiple Choice,,1,,
"While ""FBI"" is spoken as individual letters (F-B-I), ""NASA"" is pronounced as one word. What is the linguistic term for an abbreviation like FBI?", Acronym, Initialism, Contraction, Portmanteau,,Initialism,Initialisms are abbreviations where you say each letter.,Language,Multiple Choice,,1,,10
"The word ""etc."" is a shortened form of the Latin phrase et cetera. Which category does it fall under?", Acronym, Initialism, Abbreviation, Blend,,Abbreviation,"It is a shortened written form, not pronounced as a new word or spelled out letter-by-letter.",Language,Multiple Choice,,1,,
"Why is the line between acronyms and initialisms sometimes considered ""blurry""?", Because linguists cannot agree on their definitions.," Because some terms are spoken both as individual letters and as a single word depending on the speaker (e.g., GIF or SQL).", Because both terms refer to combinations of two or more independent words., Because initialisms are always longer than acronyms.,,"Because some terms are spoken both as individual letters and as a single word depending on the speaker (e.g., GIF or SQL). ",The pronunciation of terms like GIF or SQL often sparks debate on whether they should be categorized as initialisms or acronyms.),Language,Multiple Choice,,1,,
"What term is used for a blend of two words that is also shortened (e.g., smog from smoke and fog, or motel from motor and hotel)?", Initialism, Acronym, Clipping, Portmanteau,,Portmanteau,Portmanteaus blend the sounds and meanings of two distinct words.,Language,Multiple Choice,,1,,10
What does AM in AM/PM stand for?,,,,,,"AM stands for the Latin phrase ante meridiem, which means ""before midday"" (covering midnight to just before noon). ",,Language,Single Choice,,2,It's a Latin phrase meaning 'before midday'.,
What does PM in AM/PM stand for?,,,,,,"PM stands for post meridiem, meaning ""after midday"" (covering noon to just before midnight)",,Language,Single Choice,,2,It's the Latin counterpart meaning 'after midday'.,
What does AD in AD/BCE stand for?,,,,,,"AD stands for Anno Domini, Latin for ""in the year of our Lord"". It marks the years after the estimated birth of Jesus Christ.",,Language,Single Choice,,2,"It's Latin, marking years after a pivotal birth.",
What does BCE in AD/BCE stand for?,,,,,,"BCE stands for ""Before Common Era."" It refers to the years before the start of the calendar, acting as a secular alternative to BC (""Before Christ""). ",,Language,Single Choice,,2,It's the secular stand-in for 'B.C.'.,
"A word, phrase or sequence that reads the same forward and backward is called what?",,,,,,A palindrome,,Language,Single Choice,,2,Racecar' and 'level' are examples.,5
"Which code word in the NATO phonetic alphabet stands for letter ""H""?",Hammer,Hotel,Hello,Highschool,,Hotel,,Language,Multiple Choice,,1,A place you stay overnight while travelling.,
What is the numeric value of the Roman numeral L?,,,,,,50,,Math/Numbers,Single Choice,,2,Halfway to a Roman century (C).,
What is the sum of 11.5 and negative 14?,,,,,,-2.5,,Math/Numbers,Single Choice,,2,The negative value edges out the positive one.,
"What is the numeric value of the Roman numeral ""C""?",,,,,,100,,Math/Numbers,Single Choice,,1,,
"What is the numeric value of the Roman numeral ""D""?",,,,,,500,,Math/Numbers,Single Choice,,1,,
"What is the numeric value of the Roman numeral ""M""?",,,,,,1000,,Math/Numbers,Single Choice,,1,,
"If you had a penny that doubles on the next day, how long would it take to for the penny to reach $1,000,000?",24 days,31 days,28 days,27 days,,28 days,"It would take 28 days to reach $1,000,000. Because the value doubles exactly once every 24 hours (on the ""next day""), the growth is exponential. While the total stays small for most of the month, it explodes in the final week due to the power of compounding.",Math/Numbers,Multiple Choice,,1,,5
"In geometry, what is the shape of a perfectly round donut called?",Paraboloid,Torus,Mobius strip,Sphere,,Torus,,Math/Numbers,Multiple Choice,,1,The geometric name for a ring or donut shape.,
How many sides does a regular hendecagon have?,9,10,11,12,,11,,Math/Numbers,Multiple Choice,,1,The prefix 'hendeca-' is Greek for eleven.,
Which mathematician is famous for describing a sequence where each number is the sum of the two preceding ones?,Leonhard Euler,Pythagoras,Leonardo Pisano,René Descartes,,Leonardo Pisano,Leonardo Pisano (Fibonacci),Math/Numbers,Multiple Choice,,1,Better known by his nickname Fibonacci.,
What do the numbers on opposite sides of a standard 6-sided die always add up to?,6,7,8,9,,7,,Math/Numbers,Multiple Choice,,1,,
What is the only number that is spelled out with letters in alphabetical order?,10,40,0,1,,40,"Ten, Forty, Zero, One.  It is spelled f-o-r-t-y, which puts the letters in alphabetical order",Math/Numbers,Multiple Choice,,1,Spell it out — f-o-r-t-y.,
What is the term for the distance all the way around the outside edge of a circle?,Diameter,Circumference,Radius,Chord,,Circumference,,Math/Numbers,Multiple Choice,,1,,
What is the product of the first three prime numbers?,30,24,27,33,,30,( 2 * 3 * 5 = 30 ),Math/Numbers,Multiple Choice,,1,Multiply 2 × 3 × 5.,
"An icosahedron is a polyhedron with 20 faces, each of which is what shape?",Square,Triangle,Rhombus,Pentagon,,Triangle,,Math/Numbers,Multiple Choice,,,,
"In math, ∠EFG can be used to describe an angle with a vertex at which point?",E,F,G,H,,F,,Math/Numbers,Multiple Choice,,2,,
What is x equal to in: 3x = 15 ?,1,3,5,9,,5,3(5) = 15,Math/Numbers,Multiple Choice,,2,,
"What does ""mythical refresh pull"" mean?",,,,,,"(often called a ""mythical FYP pull"" or ""reel pull"") is a slang term used on TikTok and Instagram. It describes the feeling of dragging your screen to refresh your feed and being rewarded with an oddly captivating, hilarious, or perfectly hyper-specific video you absolutely love.",,Meme/Trends,Single Choice,,2,It's social-media slang about a perfect scroll-and-refresh moment.,
"What does ""mogging"" mean?",,,,,,"is Gen Z and Gen Alpha slang that means to dominate, outshine, or outperform someone else. It is most commonly used to describe someone who looks physically or aesthetically superior to another person (e.g., being better-looking, taller, or more muscular)",,Meme/Trends,Single Choice,,2,Gen Z slang for clearly outshining someone.,
Name this meme.,,,,,,Harambe,,Meme/Trends,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/en/e/ee/Harambe_with_boy.jpg,2,"This is named after the 450-pound western lowland gorilla at the Cincinnati Zoo who was shot and killed by zoo officials on May 28, 2016.",
Name this meme.,,,,,,Nyan Cat,,Meme/Trends,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/en/e/ed/Nyan_cat_250px_frame.PNG,2,"This came from a YouTube video uploaded in April 2011, which became an internet meme. The video merged a Japanese pop song with an animated cartoon cat.",
Name this meme.,,,,,,Doge,,Meme/Trends,Single Choice w/ Media,https://imgflip.com/s/meme/Doge.jpg,2,"This is a popular internet meme featuring a Shiba Inu named Kabosu, known for her quizzical expression and broken-English interior monologues (e.g., ""much wow,"" ""such ___"")",
Name this meme.,,,,,,Overly Attached Girlfriend,,Meme/Trends,Single Choice w/ Media,https://imgflip.com/s/meme/Overly-Attached-Girlfriend.jpg,1,,
Name this meme.,,,,,,Bad luck Brian,,Meme/Trends,Single Choice w/ Media,https://imgflip.com/s/meme/Bad-Luck-Brian.jpg,1,,
Name this trend.,,,,,,HARLEM SHAKE,,Meme/Trends,Single Choice w/ Media,https://youtu.be/8vJiSSAMNWw,1,,
Name this trend.,,,,,,Soulja Boy Crank That Dance,,Meme/Trends,Single Choice w/ Media,https://youtu.be/yMHygHL-obQ,1,,
Name this trend.,,,,,,Flash mob dances,,Meme/Trends,Single Choice w/ Media,https://youtu.be/2DiQUX11YaY,1,,
Name this meme.,,,,,,Me Gusta,,Meme/Trends,Single Choice w/ Media,https://static.wikia.nocookie.net/wikimemia/images/a/af/Me_Gusta.png/revision/latest/scale-to-width-down/680?cb=20130512175459,1,,
Name this meme.,,,,,,Troll face,,Meme/Trends,Single Choice w/ Media,https://upload.wikimedia.org/wikipedia/en/7/73/Trollface.png,1,,
Name this meme.,,,,,,Rick Roll,,Meme/Trends,Single Choice w/ Media,https://www.youtube.com/watch?v=Aq5WXmQQooo&pp=ygUJcmljayByb2xs,1,,
Name this popular Kpop song.,,,,,,Into The New World,,Meme/Trends,Single Choice w/ Media,https://youtu.be/0k2Zzkw_-0I?si=LQ-nKdmCzjYosaiP&t=21,1,,
Name this popular Kpop song.,,,,,,Sorry Sorry by Super Junior,,Meme/Trends,Single Choice w/ Media,https://www.youtube.com/watch?v=AAWqnA8PdcY&list=RDAAWqnA8PdcY&start_radio=1,1,,
Name this anime character.,,,,,,Totoro,,Meme/Trends,Single Choice w/ Media,https://zakkajoy.com/cdn/shop/collections/totoro.png?v=1741375039,1,,
Name this anime character. (Full name),,,,,,Tanjiro Kamado,,Meme/Trends,Single Choice w/ Media,https://static.wikitide.net/deathbattlewiki/9/98/Portrait.tanjirokamado.png,1,,
Name this anime character. (Full name),,,,,,Monkey D. Luffy,,Meme/Trends,Single Choice w/ Media,https://static.wikia.nocookie.net/onepiece/images/6/6d/Monkey_D._Luffy_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240306200817,1,,
Name this anime character.,,,,,,Charizard,,Meme/Trends,Single Choice w/ Media,https://static.wikia.nocookie.net/ssb/images/4/47/Charizard_-_Super_Smash_Bros._Ultimate.png/revision/latest?cb=20180615152220,1,,
Name this anime character. (Full name),,,,,,Sasha Braus,,Meme/Trends,Single Choice w/ Media,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2022/11/sasha-blouse-potato-(1).jpg?w=1600&h=900&fit=crop,1,,
Name this anime character.,,,,,,No Face,,Meme/Trends,Single Choice w/ Media,https://mystickermania.com/cdn/stickers/anime/spirited-away-no-face-drinking-tea-512x512.png,1,,
What is the name of this anime?,,,,,,Neon Genesis Evangelion,,Meme/Trends,Single Choice w/ Media,https://www.youtube.com/watch?v=nU21rCWkuJw&list=RDnU21rCWkuJw&start_radio=1,1,,
What is the name of this anime?,,,,,,Dan Da Dan,,Meme/Trends,Single Choice w/ Media,https://youtu.be/a4na2opArGY?si=YJycoBFhoYq0x6Rt&t=33s,1,,
What is the name of this anime?,,,,,,Haikyu!!,,Meme/Trends,Single Choice w/ Media,https://www.youtube.com/watch?v=XS-N8KfZ5EU&list=RDXS-N8KfZ5EU&start_radio=1,1,,
What is the name of this show?,,,,,,Arthur,,Meme/Trends,Single Choice w/ Media,https://youtu.be/6JMj4R63dEw?si=WAwSJmF_iA4RB_VP&t=2s,1,,
Name this popular Jpop song.,,,,,,Pen-Pineapple-Apple-Pen,,Meme/Trends,Single Choice w/ Media,https://www.youtube.com/watch?v=0E00Zuayv9Q&t=13s,1,,
What is the name of this show?,,,,,,SpongeBob SquarePants,,Meme/Trends,Single Choice w/ Media,https://www.youtube.com/watch?v=r9L4AseD-aA&list=RDr9L4AseD-aA&start_radio=1,1,,
Name this popular Kpop song.,,,,,,Lucifer - SHINee,,Meme/Trends,Single Choice w/ Media,https://www.youtube.com/watch?v=Dww9UjJ4Dt8&list=RDDww9UjJ4Dt8&start_radio=1,1,,
Whisky is the traditional New Year drink in which country?,Ireland,Scotland,Norway,Netherlands,,Scotland,,"Meme/Trends, History",Multiple Choice,,1,Home of Hogmanay and the original 'Scotch.',
 Which value is measured in ohms?,Voltage,Amperage,Resistance,Capacitance,,Resistance,,Physics,Multiple Choice,,1,,
"Which of Newton's Laws of Motion is also known as the ""Law of Inertia"" because an object in motion stays in motion unless acted upon by an outside force?",Newton's First Law,Newton's Second Law,Newton's Third Law,The Law of Universal Gravitation,,Newton's First Law,"Newton's First Law states that an object at rest will remain at rest, and an object in motion will remain in motion at constant velocity, unless acted upon by a net external force.",Physics,Multiple Choice,,2,,10
Which phenomenon best explains the dispersion of white light into a rainbow of colors as it passes through a glass prism?,Reflection,Refraction,Diffraction,Interference,,Refraction,"Refraction is the bending of light as it passes from one medium to another. Different colors of light have different wavelengths and bend at slightly different angles, causing them to separate and spread out.",Physics,Multiple Choice,,2,,5
